e,eLabel,start,end,sprec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q175447,Babylonian captivity,-0596-03-10T00:00:00Z,-0537-01-01T00:00:00Z,11,biblical concept,60,Babylonia
http://www.wikidata.org/entity/Q271834,Archaic Greece,-0599-01-01T00:00:00Z,-0500-01-01T00:00:00Z,9,culture,54,
http://www.wikidata.org/entity/Q271834,Archaic Greece,-0599-01-01T00:00:00Z,-0500-01-01T00:00:00Z,9,Greek art,54,
http://www.wikidata.org/entity/Q271834,Archaic Greece,-0599-01-01T00:00:00Z,-0500-01-01T00:00:00Z,9,art style,54,
http://www.wikidata.org/entity/Q271834,Archaic Greece,-0599-01-01T00:00:00Z,-0500-01-01T00:00:00Z,9,era,54,
http://www.wikidata.org/entity/Q271834,Archaic Greece,-0599-01-01T00:00:00Z,-0500-01-01T00:00:00Z,9,historical period,54,
http://www.wikidata.org/entity/Q500099,Jastorf culture,-0599-01-01T00:00:00Z,0000-01-01T00:00:00Z,9,archaeological culture,27,Germany
http://www.wikidata.org/entity/Q673808,tribunus militum consulari potestate,-0443-01-01T00:00:00Z,-0366-01-01T00:00:00Z,9,elective office,24,Ancient Rome
http://www.wikidata.org/entity/Q1249250,First Sacred War,-0594-01-01T00:00:00Z,-0584-01-01T00:00:00Z,9,war,18,Greece
http://www.wikidata.org/entity/Q649128,Pythian Games,-0589-01-01T00:00:00Z,0400-01-01T00:00:00Z,9,religious holiday,39,Greece
http://www.wikidata.org/entity/Q649128,Pythian Games,-0589-01-01T00:00:00Z,0400-01-01T00:00:00Z,9,recurring sporting event,39,Greece
http://www.wikidata.org/entity/Q11924845,Messenian Wars,-0742-01-01T00:00:00Z,-0453-01-01T00:00:00Z,9,series of wars,30,
http://www.wikidata.org/entity/Q25716,1st millennium BC,-0999-01-01T00:00:00Z,0000-01-01T00:00:00Z,9,millennium,81,
http://www.wikidata.org/entity/Q996912,Dong Son culture,-0999-01-01T00:00:00Z,0001-01-01T00:00:00Z,9,archaeological culture,26,Vietnam
http://www.wikidata.org/entity/Q1290590,Siege of Jerusalem,-0588-01-01T00:00:00Z,-0586-01-01T00:00:00Z,9,siege,25,
http://www.wikidata.org/entity/Q629602,black-figure pottery,-0699-01-01T00:00:00Z,-0449-01-01T00:00:00Z,9,pottery style,33,
http://www.wikidata.org/entity/Q1236678,orientalizing period,-0699-01-01T00:00:00Z,-0599-01-01T00:00:00Z,9,architectural style,26,
http://www.wikidata.org/entity/Q1236678,orientalizing period,-0699-01-01T00:00:00Z,-0599-01-01T00:00:00Z,9,aspect in a historical period,26,
http://www.wikidata.org/entity/Q845909,Scythia,-0799-01-01T00:00:00Z,-0399-01-01T00:00:00Z,9,historical region,54,
http://www.wikidata.org/entity/Q845909,Scythia,-0799-01-01T00:00:00Z,-0399-01-01T00:00:00Z,9,historical country,54,
http://www.wikidata.org/entity/Q129282,Karasuk culture,-1499-01-01T00:00:00Z,-0799-01-01T00:00:00Z,9,archaeological culture,26,
http://www.wikidata.org/entity/Q133423,Valley of the Kings,-1499-01-01T00:00:00Z,-1000-01-01T00:00:00Z,9,valley,88,Egypt
http://www.wikidata.org/entity/Q133423,Valley of the Kings,-1499-01-01T00:00:00Z,-1000-01-01T00:00:00Z,9,necropolis,88,Egypt
http://www.wikidata.org/entity/Q133423,Valley of the Kings,-1499-01-01T00:00:00Z,-1000-01-01T00:00:00Z,9,archaeological site,88,Egypt
http://www.wikidata.org/entity/Q1021436,Lapita,-1499-01-01T00:00:00Z,-0499-01-01T00:00:00Z,9,archaeological culture,36,
http://www.wikidata.org/entity/Q1056845,Iron Age India,-1499-01-01T00:00:00Z,-0199-01-01T00:00:00Z,9,historical period,20,
http://www.wikidata.org/entity/Q200966,Roman calendar,-0752-01-01T00:00:00Z,-0045-12-29T00:00:00Z,9,calendar system,58,Ancient Rome
http://www.wikidata.org/entity/Q201038,Roman Kingdom,-0752-04-13T00:00:00Z,-0508-01-01T00:00:00Z,11,historical country,78,
