e,eLabel,time,prec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q1636487,786 BC,-0785-01-01T00:00:00Z,9,year BC,38,
http://www.wikidata.org/entity/Q1636506,793 BC,-0792-01-01T00:00:00Z,9,year BC,37,
http://www.wikidata.org/entity/Q1636514,799 BC,-0798-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q1636543,788 BC,-0787-01-01T00:00:00Z,9,year BC,37,
http://www.wikidata.org/entity/Q1636582,792 BC,-0791-01-01T00:00:00Z,9,year BC,37,
http://www.wikidata.org/entity/Q1640430,798 BC,-0797-01-01T00:00:00Z,9,year BC,36,
http://www.wikidata.org/entity/Q243695,550 BC,-0549-01-01T00:00:00Z,9,year BC,70,
http://www.wikidata.org/entity/Q243807,552 BC,-0551-01-01T00:00:00Z,9,year BC,56,
http://www.wikidata.org/entity/Q243952,555 BC,-0554-01-01T00:00:00Z,9,year BC,58,
http://www.wikidata.org/entity/Q1273506,Battle of Muye,-1045-01-01T00:00:00Z,9,battle,26,People's Republic of China
http://www.wikidata.org/entity/Q1273506,Battle of Muye,-1045-01-01T00:00:00Z,9,battle,26,Zhou dynasty
http://www.wikidata.org/entity/Q1273506,Battle of Muye,-1045-01-01T00:00:00Z,9,battle,26,Shang dynasty
http://www.wikidata.org/entity/Q3344118,1046 BC,-1045-01-01T00:00:00Z,9,year BC,15,
http://www.wikidata.org/entity/Q906834,Battle of Nihriya,-1236-01-01T00:00:00Z,9,battle,16,
http://www.wikidata.org/entity/Q207782,Seven Sages of Greece,-0619-01-01T00:00:00Z,9,group of humans,56,
http://www.wikidata.org/entity/Q207782,Seven Sages of Greece,-0619-01-01T00:00:00Z,9,heptad,56,
http://www.wikidata.org/entity/Q240354,619 BC,-0618-01-01T00:00:00Z,9,year BC,47,
http://www.wikidata.org/entity/Q247895,621 BC,-0620-01-01T00:00:00Z,9,year BC,51,
http://www.wikidata.org/entity/Q248954,616 BC,-0615-01-01T00:00:00Z,9,year BC,53,
http://www.wikidata.org/entity/Q249017,617 BC,-0616-01-01T00:00:00Z,9,year BC,47,
http://www.wikidata.org/entity/Q249476,620 BC,-0619-01-01T00:00:00Z,9,year BC,52,
http://www.wikidata.org/entity/Q249671,622 BC,-0621-01-01T00:00:00Z,9,year BC,51,
http://www.wikidata.org/entity/Q249733,623 BC,-0622-01-01T00:00:00Z,9,year BC,46,
http://www.wikidata.org/entity/Q249866,624 BC,-0623-01-01T00:00:00Z,9,year BC,53,
http://www.wikidata.org/entity/Q249920,625 BC,-0624-01-01T00:00:00Z,9,year BC,54,
http://www.wikidata.org/entity/Q249983,626 BC,-0625-01-01T00:00:00Z,9,year BC,52,
http://www.wikidata.org/entity/Q250585,627 BC,-0626-01-01T00:00:00Z,9,year BC,53,
http://www.wikidata.org/entity/Q693809,954 BC,-0953-01-01T00:00:00Z,9,year BC,34,
http://www.wikidata.org/entity/Q716600,628 BC,-0627-01-01T00:00:00Z,9,year BC,50,
http://www.wikidata.org/entity/Q770617,960 BC,-0959-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q954632,969 BC,-0968-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1059830,970 BC,-0969-01-01T00:00:00Z,9,year BC,38,
http://www.wikidata.org/entity/Q1407797,961 BC,-0960-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1407907,959 BC,-0958-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1410984,972 BC,-0971-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1411077,973 BC,-0972-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1610014,955 BC,-0954-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q243562,548 BC,-0547-01-01T00:00:00Z,9,year BC,58,
http://www.wikidata.org/entity/Q243600,549 BC,-0548-01-01T00:00:00Z,9,year BC,60,
http://www.wikidata.org/entity/Q243768,551 BC,-0550-01-01T00:00:00Z,9,year BC,67,
http://www.wikidata.org/entity/Q243845,553 BC,-0552-01-01T00:00:00Z,9,year BC,60,
http://www.wikidata.org/entity/Q243884,554 BC,-0553-01-01T00:00:00Z,9,year BC,55,
http://www.wikidata.org/entity/Q243988,556 BC,-0555-01-01T00:00:00Z,9,year BC,60,
http://www.wikidata.org/entity/Q244024,557 BC,-0556-01-01T00:00:00Z,9,year BC,57,
http://www.wikidata.org/entity/Q1568965,Battle of Pteria,-0546-01-01T00:00:00Z,9,battle,23,Turkey
http://www.wikidata.org/entity/Q573852,Uluburun shipwreck,-1304-01-01T00:00:00Z,9,archaeological site,26,Turkey
http://www.wikidata.org/entity/Q573852,Uluburun shipwreck,-1304-01-01T00:00:00Z,9,shipwreck,26,Turkey
http://www.wikidata.org/entity/Q925247,931 BC,-0930-01-01T00:00:00Z,9,year BC,34,
http://www.wikidata.org/entity/Q1134493,914 BC,-0913-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1137956,932 BC,-0931-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1449060,915 BC,-0914-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1449166,928 BC,-0927-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1449201,925 BC,-0924-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q3111610,918 BC,-0917-01-01T00:00:00Z,9,year BC,28,
http://www.wikidata.org/entity/Q267192,763 BC,-0762-01-01T00:00:00Z,9,year BC,48,
http://www.wikidata.org/entity/Q493886,750 BC,-0749-01-01T00:00:00Z,9,year BC,51,
http://www.wikidata.org/entity/Q530927,752 BC,-0751-01-01T00:00:00Z,9,year BC,47,
http://www.wikidata.org/entity/Q538156,766 BC,-0765-01-01T00:00:00Z,9,year BC,40,
http://www.wikidata.org/entity/Q546026,768 BC,-0767-01-01T00:00:00Z,9,year BC,41,
http://www.wikidata.org/entity/Q588810,771 BC,-0770-01-01T00:00:00Z,9,year BC,50,
http://www.wikidata.org/entity/Q720083,756 BC,-0755-01-01T00:00:00Z,9,year BC,43,
http://www.wikidata.org/entity/Q1056165,770 BC,-0769-01-01T00:00:00Z,9,year BC,48,
http://www.wikidata.org/entity/Q1057969,772 BC,-0771-01-01T00:00:00Z,9,year BC,43,
http://www.wikidata.org/entity/Q1059177,751 BC,-0750-01-01T00:00:00Z,9,year BC,45,
http://www.wikidata.org/entity/Q1059191,780 BC,-0779-01-01T00:00:00Z,9,year BC,42,
http://www.wikidata.org/entity/Q1059404,764 BC,-0763-01-01T00:00:00Z,9,year BC,42,
http://www.wikidata.org/entity/Q1059420,749 BC,-0748-01-01T00:00:00Z,9,year BC,40,
http://www.wikidata.org/entity/Q1065569,781 BC,-0780-01-01T00:00:00Z,9,year BC,41,
http://www.wikidata.org/entity/Q1086596,779 BC,-0778-01-01T00:00:00Z,9,year BC,39,
http://www.wikidata.org/entity/Q1133172,761 BC,-0760-01-01T00:00:00Z,9,year BC,38,
http://www.wikidata.org/entity/Q1133238,775 BC,-0774-01-01T00:00:00Z,9,year BC,40,
http://www.wikidata.org/entity/Q1153826,774 BC,-0773-01-01T00:00:00Z,9,year BC,40,
http://www.wikidata.org/entity/Q1407533,762 BC,-0761-01-01T00:00:00Z,9,year BC,39,
http://www.wikidata.org/entity/Q498514,866 BC,-0865-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q779012,874 BC,-0873-01-01T00:00:00Z,9,year BC,34,
http://www.wikidata.org/entity/Q1065585,859 BC,-0858-01-01T00:00:00Z,9,year BC,39,
http://www.wikidata.org/entity/Q1133428,858 BC,-0857-01-01T00:00:00Z,9,year BC,35,
http://www.wikidata.org/entity/Q1407511,872 BC,-0871-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1407787,860 BC,-0859-01-01T00:00:00Z,9,year BC,34,
http://www.wikidata.org/entity/Q1450200,871 BC,-0870-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q1450609,857 BC,-0856-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1451379,875 BC,-0874-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1452812,863 BC,-0862-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1616261,868 BC,-0867-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1616269,867 BC,-0866-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1616336,864 BC,-0863-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1620420,862 BC,-0861-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1621089,873 BC,-0872-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1636448,869 BC,-0868-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q1971304,870 BC,-0869-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q255250,668 BC,-0667-01-01T00:00:00Z,9,year BC,50,
http://www.wikidata.org/entity/Q255394,669 BC,-0668-01-01T00:00:00Z,9,year BC,49,
http://www.wikidata.org/entity/Q255791,671 BC,-0670-01-01T00:00:00Z,9,year BC,50,
http://www.wikidata.org/entity/Q255958,673 BC,-0672-01-01T00:00:00Z,9,year BC,54,
http://www.wikidata.org/entity/Q256072,674 BC,-0673-01-01T00:00:00Z,9,year BC,48,
http://www.wikidata.org/entity/Q256332,676 BC,-0675-01-01T00:00:00Z,9,year BC,49,
http://www.wikidata.org/entity/Q256440,677 BC,-0676-01-01T00:00:00Z,9,year BC,47,
http://www.wikidata.org/entity/Q256687,679 BC,-0678-01-01T00:00:00Z,9,year BC,45,
http://www.wikidata.org/entity/Q256892,680 BC,-0679-01-01T00:00:00Z,9,year BC,51,
http://www.wikidata.org/entity/Q542889,968 BC,-0967-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q1133408,957 BC,-0956-01-01T00:00:00Z,9,year BC,33,
http://www.wikidata.org/entity/Q1153912,964 BC,-0963-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1407805,966 BC,-0965-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1407812,965 BC,-0964-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1448980,956 BC,-0955-01-01T00:00:00Z,9,year BC,31,
