e,eLabel,time,prec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q504769,Xin dynasty,0009-01-01T00:00:00Z,9,Chinese dynasty,55,
http://www.wikidata.org/entity/Q504769,Xin dynasty,0009-01-01T00:00:00Z,9,historical Chinese state,55,
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,Roman limes,25,Netherlands
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,archaeological site,25,Netherlands
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,defense line,25,Netherlands
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,Kulturdenkmal,25,Netherlands
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,Roman limes,25,Germany
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,archaeological site,25,Germany
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,defense line,25,Germany
http://www.wikidata.org/entity/Q707801,Limes Germanicus,0009-01-01T00:00:00Z,9,Kulturdenkmal,25,Germany
http://www.wikidata.org/entity/Q503387,Rock-hewn Churches of Ivanovo,0013-01-01T00:00:00Z,9,museum,44,Bulgaria
http://www.wikidata.org/entity/Q503387,Rock-hewn Churches of Ivanovo,0013-01-01T00:00:00Z,9,group,44,Bulgaria
http://www.wikidata.org/entity/Q26567,Syriac alphabet,0001-01-01T00:00:00Z,9,writing system,51,Syria
http://www.wikidata.org/entity/Q26567,Syriac alphabet,0001-01-01T00:00:00Z,9,unicase alphabet,51,Syria
http://www.wikidata.org/entity/Q26567,Syriac alphabet,0001-01-01T00:00:00Z,9,natural writing system,51,Syria
http://www.wikidata.org/entity/Q28456,Silla,-0056-01-01T00:00:00Z,9,historical country,68,Silla
http://www.wikidata.org/entity/Q173082,Dacia,-0059-01-01T00:00:00Z,9,historical region,58,Romania
http://www.wikidata.org/entity/Q173082,Dacia,-0059-01-01T00:00:00Z,9,historical country,58,Romania
http://www.wikidata.org/entity/Q173082,Dacia,-0059-01-01T00:00:00Z,9,ancient civilization,58,Romania
http://www.wikidata.org/entity/Q715380,First Triumvirate,-0059-01-01T00:00:00Z,9,triumvirate,49,Ancient Rome
http://www.wikidata.org/entity/Q715380,First Triumvirate,-0059-01-01T00:00:00Z,9,alliance,49,Ancient Rome
http://www.wikidata.org/entity/Q944688,Pons Fabricius,-0061-01-01T00:00:00Z,9,Roman bridge,25,Italy
http://www.wikidata.org/entity/Q944688,Pons Fabricius,-0061-01-01T00:00:00Z,9,stone bridge,25,Italy
http://www.wikidata.org/entity/Q944688,Pons Fabricius,-0061-01-01T00:00:00Z,9,deck arch bridge,25,Italy
http://www.wikidata.org/entity/Q944688,Pons Fabricius,-0061-01-01T00:00:00Z,9,ancient Roman structure,25,Italy
http://www.wikidata.org/entity/Q944814,Theatre of Pompey,-0054-01-01T00:00:00Z,9,Roman theatre,34,Italy
http://www.wikidata.org/entity/Q944814,Theatre of Pompey,-0054-01-01T00:00:00Z,9,destroyed building or structure,34,Italy
http://www.wikidata.org/entity/Q944814,Theatre of Pompey,-0054-01-01T00:00:00Z,9,Roman archaeological site,34,Italy
http://www.wikidata.org/entity/Q2967757,Cyprus,-0057-01-01T00:00:00Z,9,Roman province,34,Byzantine Empire
http://www.wikidata.org/entity/Q2967757,Cyprus,-0057-01-01T00:00:00Z,9,Roman province,34,Ancient Rome
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,stadium,146,Italy
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,archaeological site,146,Italy
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,Italian national museum,146,Italy
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,Roman amphitheatre,146,Italy
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,historical civil building museum,146,Italy
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,archaeological artifact museum,146,Italy
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,Museum of the Italian Ministry of Culture,146,Italy
http://www.wikidata.org/entity/Q10285,Colosseum,0082-01-01T00:00:00Z,9,roman ruins,146,Italy
http://www.wikidata.org/entity/Q39939,Gospel of Luke,0085-01-01T00:00:00Z,9,literary work,148,
http://www.wikidata.org/entity/Q39939,Gospel of Luke,0085-01-01T00:00:00Z,9,book of the Bible,148,
http://www.wikidata.org/entity/Q153553,Germania Superior,0083-01-01T00:00:00Z,9,Roman province,48,Gallic Empire
http://www.wikidata.org/entity/Q153553,Germania Superior,0083-01-01T00:00:00Z,9,Roman province,48,Ancient Rome
http://www.wikidata.org/entity/Q723887,Arch of Titus,0082-01-01T00:00:00Z,9,triumphal arch,43,Italy
http://www.wikidata.org/entity/Q723887,Arch of Titus,0082-01-01T00:00:00Z,9,archaeological site,43,Italy
http://www.wikidata.org/entity/Q189225,Zealotry,0008-01-01T00:00:00Z,9,religious movement,55,Roman Empire
http://www.wikidata.org/entity/Q189225,Zealotry,0008-01-01T00:00:00Z,9,political movement,55,Roman Empire
http://www.wikidata.org/entity/Q471257,history of chess,0007-01-01T00:00:00Z,9,type of sport,43,
http://www.wikidata.org/entity/Q471257,history of chess,0007-01-01T00:00:00Z,9,aspect of history,43,
http://www.wikidata.org/entity/Q1236235,Fasti,0008-01-01T00:00:00Z,9,literary work,27,
http://www.wikidata.org/entity/Q223399,Qumran,-0103-01-01T00:00:00Z,9,archaeological site,51,Palestine
http://www.wikidata.org/entity/Q223399,Qumran,-0103-01-01T00:00:00Z,9,national park,51,Palestine
http://www.wikidata.org/entity/Q223399,Qumran,-0103-01-01T00:00:00Z,9,Jewish settlement in the land of Israel,51,Palestine
http://www.wikidata.org/entity/Q540546,Ponte Pietra,-0099-01-01T00:00:00Z,9,road bridge,25,Italy
http://www.wikidata.org/entity/Q540546,Ponte Pietra,-0099-01-01T00:00:00Z,9,Roman bridge,25,Italy
http://www.wikidata.org/entity/Q540546,Ponte Pietra,-0099-01-01T00:00:00Z,9,stone bridge,25,Italy
http://www.wikidata.org/entity/Q540546,Ponte Pietra,-0099-01-01T00:00:00Z,9,deck arch bridge,25,Italy
http://www.wikidata.org/entity/Q540546,Ponte Pietra,-0099-01-01T00:00:00Z,9,ancient Roman structure,25,Italy
http://www.wikidata.org/entity/Q841762,Alexander Mosaic,-0099-01-01T00:00:00Z,9,mosaic,32,Italy
http://www.wikidata.org/entity/Q2086608,Western Satraps,0035-01-01T00:00:00Z,9,dynasty,26,
http://www.wikidata.org/entity/Q2086608,Western Satraps,0035-01-01T00:00:00Z,9,historical country,26,
http://www.wikidata.org/entity/Q2086608,Western Satraps,0035-01-01T00:00:00Z,9,satrapy,26,
http://www.wikidata.org/entity/Q75026,Fushun,-0107-01-01T00:00:00Z,9,prefecture-level city of China,63,People's Republic of China
http://www.wikidata.org/entity/Q75026,Fushun,-0107-01-01T00:00:00Z,9,big city,63,People's Republic of China
http://www.wikidata.org/entity/Q289577,Himyarite kingdom,-0109-01-01T00:00:00Z,9,historical country,49,
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,city,356,United Kingdom
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,megacity,356,United Kingdom
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,metropolis,356,United Kingdom
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,global city,356,United Kingdom
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,political territorial entity,356,United Kingdom
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,financial center,356,United Kingdom
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,largest city,356,United Kingdom
http://www.wikidata.org/entity/Q84,London,0047-01-01T00:00:00Z,9,national capital,356,United Kingdom
http://www.wikidata.org/entity/Q64871,Syro-Malabar Church,0050-01-01T00:00:00Z,9,Eastern Catholic Churches,33,
http://www.wikidata.org/entity/Q64871,Syro-Malabar Church,0050-01-01T00:00:00Z,9,Catholic particular church sui iuris,33,
http://www.wikidata.org/entity/Q64871,Syro-Malabar Church,0050-01-01T00:00:00Z,9,Major archiepiscopal church,33,
http://www.wikidata.org/entity/Q131115,First Epistle to the Thessalonians,0050-01-01T00:00:00Z,9,religious text,105,
http://www.wikidata.org/entity/Q131115,First Epistle to the Thessalonians,0050-01-01T00:00:00Z,9,epistle,105,
http://www.wikidata.org/entity/Q131115,First Epistle to the Thessalonians,0050-01-01T00:00:00Z,9,literary work,105,
http://www.wikidata.org/entity/Q131115,First Epistle to the Thessalonians,0050-01-01T00:00:00Z,9,book of the Bible,105,
http://www.wikidata.org/entity/Q568342,Tabularium,-0077-01-01T00:00:00Z,9,archaeological site,34,Italy
http://www.wikidata.org/entity/Q568342,Tabularium,-0077-01-01T00:00:00Z,9,Tabularium,34,Italy
